Title,Metascore,Awards,rate
Bangkok Dangerous,24,1,6
The Bank Job,69,2,8
The Dark Knight,82,96,9
Mad Money,41,2,6
Max Payne,31,1,6
Pathology,55,0,6
Street Kings,55,1,7
The Spirit,30,2,5
Angels & Demons,48,6,7
Armored,50,0,6
Bad Lieutenant: Port of Call New Orleans,69,12,7
The Boondock Saints II: All Saints Day,24,0,7
Fighting,61,1,6
The Informant!,66,20,7
Law Abiding Citizen,34,7,8
The Limits of Control,41,0,7
Public Enemies,70,15,7
The 6th Day,49,8,6
Battlefield Earth,9,16,3
The Cell,40,30,7
Happy Accidents,60,3,8
Hollow Man,24,17,6
The Last Man,32,3,6
Mission to Mars,34,1,6
Pitch Black,49,6,8
Red Planet,34,1,6
Space Cowboys,73,11,7
Supernova,19,0,5
Titan A.E.,48,8,7
What Planet Are You From?,41,1,6
X-Men,64,39,8
A.I. Artificial Intelligence,65,82,8
Atlantis: The Lost Empire,52,17,7
Donnie Darko,71,26,9
Evolution,40,1,6
Final,48,0,6
Final Fantasy: The Spirits Within,49,10,7
Ghosts of Mars,35,1,5
Jurassic Park III,42,18,6
K-PAX,49,3,8
The Lost Skeleton of Cadavra,45,2,8
The One,25,4,6
Planet of the Apes,50,35,6
Vanilla Sky,45,36,7
The Adventures of Pluto Nash,12,7,4
Clockstoppers,40,0,6
Eight Legged Freaks,53,1,6
Equilibrium,33,2,8
Happy Here and Now,60,1,6
Men in Black II,49,16,7
Minority Report,80,95,8
Reign of Fire,39,3,7
Resident Evil,33,6,7
Rollerball,14,3,3
S1m0ne,49,1,7
Signs,59,33,7
Solaris,65,13,7
Spider-Man,73,72,8
Star Trek: Nemesis,51,5,7
Teknolust,43,3,6
Treasure Planet,60,15,8
The Time Machine,42,4,6
The Core,48,0,6
Dreamcatcher,35,4,6
Good Boy!,49,4,6
Hulk,54,10,6
It's All About Love,32,3,6
The Matrix Reloaded,62,28,8
The Matrix Revolutions,47,23,7
Paycheck,43,4,7
Terminator 3: Rise of the Machines,66,19,7
Timeline,28,0,6
AVP: Alien vs. Predator,29,6,6
The Butterfly Effect,30,9,8
The Chronicles of Riddick,38,4,7
The Day After Tomorrow,47,17,7
Eternal Sunshine of the Spotless Mind,89,80,9
The Final Cut,43,5,7
The Forgotten,43,7,6
Godsend,24,0,5
"I, Robot",59,15,8
Primer,68,10,7
Resident Evil: Apocalypse,35,5,7
Sky Captain and the World of Tomorrow,64,24,7
